String,Statement,Label
what composer used sound mass,what composer used sound mass,"( ibid ),A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 ( Nonesuch H-71280 ) while more recently Phill Niblock 's multiple drone based music serves as an example .,Other examples include European `` textural '' compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima ( 1959 ) and György Ligeti 's works featuring micropolyphony in works like Atmosphères ( 1961 ) and his Requiem ( 1963-65 ) .,Sound mass techniques also appear in the music of George Crumb ( Anon . n.d. ) ."
what do you call to the grade six pupils ?,what do you call to the grade six pupils ?,Students attending a lecture on linear algebra at the Helsinki University of Technology
what continent is australia,what continent is australia,"It is the smallest of the seven traditional continents in the English conception .,Zealandia and Australia are both part of the wider regions known as Australasia and Oceania ."
how does rainfall in new york affect the environment ?,how does rainfall in new york affect the environment ?,"Historically its reservoirs were important components of the city 's water supply .,New York 's population density has environmental pros and cons .,New York City accounts for only 1 % of United States greenhouse gas emissions while housing 2.7 % of its population ."
What did the hollywood blacklist have to do with McCarthy,What did the hollywood blacklist have to do with McCarthy,"A 1947 propaganda comic book published by the Catechetical Guild Educational Society raising the specter of a Communist takeover,Many people suffered loss of employment and/or destruction of their careers ; some even suffered imprisonment .,McCarthyism was a widespread social and cultural phenomenon that affected all levels of society and was the source of a great deal of debate and conflict in the United States ."
how does frederick trick napoleon in animal farm,how does frederick trick napoleon in animal farm,Napoleon is a fictional character and the main antagonist in George Orwell 's Animal Farm .
how many days it take for neptune to orbit once,how many days it take for neptune to orbit once,"NEPTUNE logo,The NEPTUNE Canada project is the world’s first regional-scale underwater ocean observatory that plugs directly into the Internet ."
how many mhz is ARM9 base,how many mhz is ARM9 base,ARM9 is an ARM architecture 32-bit RISC CPU family .
what does it mean to be a commonwealth state,what does it mean to be a commonwealth state,"Commonwealth is a traditional English term for a political community founded for the common good .,More recently it has been used for fraternal associations of some sovereign nations ."
how many people died at the pentagon in 9 11,how many people died at the pentagon in 9 11,"Four passenger airliners were hijacked by 19 al-Qaeda terrorists so they could be flown into buildings in suicide attacks .,Suspicion quickly fell on al-Qaeda .,Many countries strengthened their anti-terrorism legislation and expanded law enforcement powers .,The destruction of the Twin Towers and other properties caused serious damage to the economy of Lower Manhattan and had a significant effect on global markets ."
how many people visit crater lake national park each year,how many people visit crater lake national park each year,"Crater Lake National Park is a United States National Park located in southern Oregon .,The caldera rim ranges in elevation from .,The United States Geological Survey benchmarked elevation of the lake surface itself is .,This National Park encompasses .,Crater Lake has no streams flowing into or out of it .,All water that enters the lake is eventually lost from evaporation or subsurface seepage ."
how long can you be in the supreme court,how long can you be in the supreme court,The Supreme Court of the United States is the highest court in the United States .
