String,new_string
how does a solid state drive work,"[{'generated_text': ""what is the disadvantage of the modern 2.5 ' SSD ?""}]"
how do they harvest caviar ?,[{'generated_text': 'which caviar is served with mother of pearl caviar ?'}]
what channel is sec network ?,[{'generated_text': 'how many times does the SEC Network air a week ?'}]
what happened in the 90 's,[{'generated_text': 'what was the result of the end of the Cold war ?'}]
how long did the roman empire last,[{'generated_text': 'when did the Pax Romana begin ?'}]
how many high schools are in the us,[{'generated_text': 'how many grade levels are there in a true high school ?'}]
how much does U.S. pay on health care per person,[{'generated_text': 'which country spent the most on health care in the 1960s and 1970s ?'}]
what creates sonic boom,"[{'generated_text': 'what is a "" sonic boom "" ?'}]"
what channel is jay leno on ?,[{'generated_text': 'what is special about the show ?'}]
how is rfid tag powered,[{'generated_text': 'how many kinds ofRFID tags are used in the text ?'}]
how does fraud called the psyche mind,"[{'generated_text': 'what is the similarity between the concepts of the "" structural model "" and the topographical model'}]"
what does CTA stand for afrotc,"[{'generated_text': 'how many officers are there in the 1,000-strong detachment ?'}]"
how is paper measured,[{'generated_text': 'how many ways of expressing paper density are used in the text ?'}]
how does candace parker write,"[{'generated_text': ""where did Parker win the 2009 Nickelodeon Kids ' Choice award ?""}]"
what food group is alcohol,[{'generated_text': 'how many countries and organisations have also published food pyramids ?'}]
what jobs did hans christian anderson have besides writing ?,[{'generated_text': 'why was he feted by royalty ?'}]
What culture is it that children do not look adults in the eyes ?,[{'generated_text': 'what is the study of eye contact sometimes known as oculesics ?'}]
how do you get bed bugs,[{'generated_text': 'why do bed bugs feed on their hosts without being noticed ?'}]
what city is oregon state university in,[{'generated_text': 'how many programs are offered through the university ?'}]
how much can female ejaculate,[{'generated_text': 'what is female ejaculation ?'}]
how long have kanab ambersnail been endangered ?,[{'generated_text': 'what has the species been on the list of endangered species since 8 August 1991 ?'}]
how many spanish speaking people are there in the us,[{'generated_text': 'what is the second most used language in the us ?'}]
what does ( sic ) mean ?,[{'generated_text': 'who is the second in command in the field of statistics ?'}]
what animal is Mint in tokyo mew mew,[{'generated_text': 'who designed the character Tokyo Mew Mew ?'}]
how does sedimentary rock form,"[{'generated_text': ""what is the common name for the rocks formed by the deposition of material at the earth '""}]"
how many bones are in the skeletal system is composed of 306 bones,"[{'generated_text': ""what 's the height of the text ?""}]"
what did st.patrick do,[{'generated_text': 'when was the feast of Saint Patrick ?'}]
how do you know if something is the golden ratio,[{'generated_text': 'what is the golden ratio ?'}]
what country in the middle east did france take control of after ww1,[{'generated_text': 'why was the League of Nations formed ?'}]
how many communities in camden city nj,[{'generated_text': 'how many people are below the national poverty line in Camden in 2010 ?'}]
how rare are cardiac issues with amitriptyline,[{'generated_text': 'what is the benefit of using a tCA ?'}]
How is a computer used ?,[{'generated_text': 'how many kinds of electronic digital computers were developed between 1940 and 1945 ?'}]
what does barefoot and pregnant mean,"[{'generated_text': 'what \'s the meaning of "" Barefoot and pregnant "" ?'}]"
how many seats are in phenix city stadium,[{'generated_text': 'how many times has the Fiesta Bowl been held in the same building ?'}]
how many innings in overtime in baseball,[{'generated_text': 'what is the baseball-derived parallel to this in american english ?'}]
what causes a deficiency in adenosine deaminase,[{'generated_text': 'how many genotypes are mentioned in the article ?'}]
how poverty affects intelligence,[{'generated_text': 'how many people were living in absolute poverty in 2008 in the world ?'}]
how long before symptoms of deadly mushrooms,[{'generated_text': 'what is the most common reason for mushroom poisoning ?'}]
how did neil armstrong affect the united states,[{'generated_text': 'how long did they stay on the lunar surface ?'}]
what countries have won the world cup,[{'generated_text': 'how many countries took part in the 19th world cup ?'}]
how many native Americans did the United States kill or deport ?,[{'generated_text': 'what is the final word on these subjects ?'}]
what does a timing belt do,[{'generated_text': 'what is a timing belt ?'}]
how latin america has changed us culture,"[{'generated_text': ""what is the writer 's opinion about the history of the us ?""}]"
what does point in samoan,[{'generated_text': 'what is special about the language in both jurisdictions ?'}]
how is 5 hour glucose tolerance test performed,[{'generated_text': 'what is a glucose tolerance test ?'}]
how does the mls schedule work,[{'generated_text': 'how many teams were there in the first season of Major League Soccer ?'}]
what countries legalize marijuana,[{'generated_text': 'why are tests to detect cannabis increasingly common in many countries ?'}]
how is the ejection fraction measured,[{'generated_text': 'which is the correct way of ejecting EF ?'}]
how is traffic from palmdale to santa clarita ?,[{'generated_text': 'what is the name of the southern portion of the highway ?'}]
how many blind people are there in the us,"[{'generated_text': 'if a person has only light perception , he would have to stand from an object to see'}]"
how many albums has dmx sold to this date,"[{'generated_text': ""what 's the name of the mixtape ?""}]"
how many years of bugs bunny,[{'generated_text': 'who is the eighth most popular film personality in the world ?'}]
what do mucous membranes secrete,[{'generated_text': 'what is a mucous membrane ?'}]
what does a master sergeant in the air force do,[{'generated_text': 'who is a master sergeant ?'}]
how does egg substitute effect the cake if u put in,[{'generated_text': 'what is a bread ?'}]
how did Tammy Faye Messner die ?,[{'generated_text': 'who was the participant in the 2004 season of the reality show the Surreal Life ?'}]
what county is Cambria WI in,[{'generated_text': 'where was the population 767 at the 2010 census ?'}]
how is public policy created,[{'generated_text': 'what is public policy ?'}]
how does an earthworm eat & digests food .,[{'generated_text': 'how does the food get into the small intestine ?'}]
how many wives did henry the 8th have,[{'generated_text': 'how many times was king of the us ?'}]
what country are bongo drums from ?,[{'generated_text': 'which drum is called a hembra ?'}]
how many books in bible,[{'generated_text': 'which is the most inclusive according to the text ?'}]
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,[{'generated_text': 'how many colors are there in the flag ?'}]
What did the Supreme Court determine in Dred Scott v. Sandford ?,[{'generated_text': 'why was the jurisdictional ruling made ?'}]
what happened to the new condos built at st clair ave and mt vernon in columbus ohio,[{'generated_text': 'what is the border information used for ?'}]
what do biologists do,[{'generated_text': 'what is a biologist ?'}]
what does base jumping stand for,[{'generated_text': 'what do you think the wingsuit is ?'}]
what kind of food does the british blue cat eat ?,"[{'generated_text': 'what kind of cat is the "" shorthair "" ?'}]"
how many gold medals usa won for basketball,[{'generated_text': 'why did the u.s. win the gold at the 2012 Summer Olympics ?'}]
how pays for nfl super bowl rings,[{'generated_text': 'who got the ring ?'}]
What country is the largest stalagmite,[{'generated_text': 'where can you see a stalagmite formation ?'}]
what episode on how i met your mother is tantrum,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what does Gringo mean,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
